46, 1001
Ann Middlebrook
NOAA ESRL CSD
C-ToF AMS Instrument 
SENEX 2013
1, 1
2013, 06, 11, 2014, 02, 10
1
AOCTimewave, seconds_past_midnight, AOCTimewave
7
1, 1, 1, 1, 1, 1, 1
-9999, -9999, -9999, -9999, -9999, -9999, -9999
AMS_SO4, microgram_per_standard_cubic_meter_of_air, AMSSulfate
AMS_NO3, microgram_per_standard_cubic_meter_of_air, AMSNitrate
AMS_NH4, microgram_per_standard_cubic_meter_of_air, AMSAmmonium
AMS_Org, microgram_per_standard_cubic_meter_of_air, AMSOrganic
AMS_Chl, microgram_per_standard_cubic_meter_of_air, AMSChloride
AMS_Total, microgram_per_standard_cubic_meter_of_air, AMSTotal
AMS_SiliconeFlag, none, AMSSiliconeFlag
5
Data are 10 second averages, given with the AMS mid-time timestamp. 
New ionization efficiency calibrations and composition dependend collection efficiencies have been applied.
Data have been time-aligned with vfine.
Flag provided for times when silicone was present and those data points were removed.
Flags for higher uncertainty or in-cloud data are not included. 
20
PI_CONTACT_INFO: Email: Ann.M.Middlebrook@noaa.gov
PLATFORM: Platform: NOAA WP-3D
LOCATION: Location: The aircraft was stationed in Smyrna, TN. Aircraft location information is in AircraftPos file.
ASSOCIATED_DATA: N/A
INSTRUMENT_INFO: Jayne et al., Aerosol Sci. Technol., 33, 49-70, 2000. Jimenez et al., J. Geophys. Res., 108(D7), 8425, doi: 10.1029/2001JD001212, 2003. Bahreini et al., J. Geophys. Res., 108, ACE 13, doi: 10.1029/2002JD003226, 2003. Drewnick et al., Aerosol Sci. Technol., 39, 637-658, 2005. DeCarlo et al., Anal. Chem., doi: 10.1021/ac061249n, 2006.
DATA_INFO: Realtime 10 s data; units: micrograms per standard cubic meter of air
UNCERTAINTY: +/- 30%
ULOD_FLAG: -7777
ULOD_VALUE: N/A
LLOD_FLAG: -8888
LLOD_VALUE: AMS_SO4=0.06, AMS_NO3=0.15, AMS_NH4=0.27, AMS_Org=0.37, AMS_Chl=0.11, AMS_Total=0.49
DM_CONTACT_INFO: Data Manager: Ken Aikin; email:Kenneth.C.Aikin@noaa.gov
PROJECT_INFO: Project Info: SENEX, June-July, 2013
STIPULATIONS_ON_USE: Use of these data require prior ok from PI.
OTHER_COMMENTS: Mass distributions available upon request.
REVISION: 0
R0: Final Data.
RB: New IE calibrations have been applied. For intermediate use only.
RA: Preliminary Data.  For in-field use only.
AOCTimewave, AMS_SO4, AMS_NO3, AMS_NH4, AMS_Org, AMS_Chl, AMS_Total, AMS_SiliconeFlag
59410,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59411,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59412,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59413,1.15,0.34,0.61,6.86,-9999.00,8.96,-9999
59414,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59415,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59416,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59417,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59418,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59419,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59420,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59421,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59422,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59423,0.96,0.36,0.60,6.33,-9999.00,8.22,-9999
59424,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59425,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59426,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59427,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59428,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59429,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59430,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59431,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59432,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59433,0.95,0.43,0.83,6.65,-9999.00,8.83,-9999
59434,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59435,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59436,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59437,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59438,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59439,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59440,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59441,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59442,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59443,0.87,0.30,0.69,6.13,-9999.00,7.97,-9999
59444,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59445,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59446,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59447,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59448,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59449,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59450,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59451,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59452,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59453,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59454,0.96,0.31,0.55,6.05,-9999.00,7.89,-9999
59455,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59456,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59457,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59458,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59459,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59460,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59461,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59462,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59463,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59464,1.00,0.27,0.73,6.52,-9999.00,8.48,-9999
59465,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59466,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59467,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59468,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59469,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59470,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59471,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59472,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59473,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59474,0.93,0.39,0.82,6.79,-9999.00,8.97,-9999
59475,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59476,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59477,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59478,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59479,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59480,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59481,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59482,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59483,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59484,0.98,0.52,0.89,7.08,-9999.00,9.48,-9999
59485,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59486,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59487,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59488,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59489,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59490,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59491,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59492,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59493,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59494,0.91,0.37,0.66,6.61,-9999.00,8.53,-9999
59495,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59496,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59497,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59498,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59499,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59500,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59501,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59502,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59503,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59504,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59505,0.94,0.30,0.59,6.11,-9999.00,7.98,-9999
59506,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59507,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59508,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59509,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59510,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59511,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59512,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59513,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59514,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59515,1.00,0.38,0.69,6.41,-9999.00,8.49,-9999
59516,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59517,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59518,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59519,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59520,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59521,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59522,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59523,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59524,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59525,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59526,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59527,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59528,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59529,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59530,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59531,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59532,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59533,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59534,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59535,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59536,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59537,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59538,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59539,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59540,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59541,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59542,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59543,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59544,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59545,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59546,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59547,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59548,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59549,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59550,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59551,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59552,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59553,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59554,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59555,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59556,0.55,-9999.00,-9999.00,2.70,-9999.00,3.57,-9999
59557,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59558,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59559,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59560,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59561,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59562,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59563,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59564,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59565,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59566,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59567,0.56,-9999.00,0.45,3.44,-9999.00,4.52,-9999
59568,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59569,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59570,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59571,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59572,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59573,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59574,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59575,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59576,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59577,0.57,-9999.00,0.48,3.04,-9999.00,4.24,-9999
59578,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59579,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59580,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59581,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59582,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59583,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59584,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59585,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59586,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59587,0.49,-9999.00,0.31,2.20,-9999.00,3.03,-9999
59588,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59589,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59590,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59591,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59592,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59593,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59594,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59595,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59596,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59597,0.42,-9999.00,0.39,1.95,-9999.00,2.78,-9999
59598,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59599,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59600,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59601,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59602,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59603,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59604,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59605,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59606,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59607,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59608,0.45,-9999.00,0.28,1.67,-9999.00,2.46,-9999
59609,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59610,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59611,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59612,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59613,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59614,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59615,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59616,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59617,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59618,0.26,-9999.00,-9999.00,0.69,-9999.00,1.18,-9999
59619,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59620,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59621,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59622,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59623,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59624,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59625,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59626,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59627,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59628,0.23,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59629,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59630,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59631,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59632,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59633,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59634,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59635,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59636,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59637,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59638,0.24,-9999.00,0.28,0.39,-9999.00,0.91,-9999
59639,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59640,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59641,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59642,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59643,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59644,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59645,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59646,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59647,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59648,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
59649,0.26,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999
